iso2,iso3,country_name,official_name,capital,region,subregion,population,area_km2,gdp_usd,density_per_km2,gdp_per_capita_usd,currencies,languages,source_count,sources,processed_at
AT,AUT,Austria,,,,,9159993,83879.0,521000000000.0,109.2,56877.77,,,2,file|bigdata,2026-08-26T08:26:05.602699+00:00
BE,BEL,Belgium,,,,,11787423,30528.0,655000000000.0,386.12,55567.7,,,2,file|bigdata,2026-08-26T08:26:05.602699+00:00
CH,CHE,Switzerland,,,,,8961600,41285.0,938000000000.0,217.07,104668.81,,,2,file|bigdata,2026-08-26T08:26:05.602699+00:00
DE,DEU,Germany,,,,,83577140,357022.0,4650000000000.0,234.1,55637.22,,,2,file|bigdata,2026-08-26T08:26:05.602699+00:00
ES,ESP,Spain,,,,,48619695,505990.0,1720000000000.0,96.09,35376.61,,,2,file|bigdata,2026-08-26T08:26:05.602699+00:00
FR,FRA,France,French Republic,Paris,Europe,Western Europe,68551653,551695.0,3050000000000.0,124.26,44492.0,,,3,file|api|bigdata,2026-08-26T08:26:05.602699+00:00
IT,ITA,Italy,,,,,58989749,301340.0,2370000000000.0,195.76,40176.47,,,2,file|bigdata,2026-08-26T08:26:05.602699+00:00
LU,LUX,Luxembourg,,,,,672050,2586.0,91000000000.0,259.88,135406.59,,,2,file|bigdata,2026-08-26T08:26:05.602699+00:00
NL,NLD,Netherlands,,,,,17942642,41850.0,1150000000000.0,428.74,64093.13,,,2,file|bigdata,2026-08-26T08:26:05.602699+00:00
PT,PRT,Portugal,,,,,10639726,92212.0,301000000000.0,115.38,28290.2,,,2,file|bigdata,2026-08-26T08:26:05.602699+00:00
